"RoleName","StandardActivity","RoleType","Application","System","Platform","EntitlementName","EntitlementValue","AuthObjValue","FieldSecName","FieldSecValue","Commentary","EditStatus",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","15-NEW YORK","MANYC1A4","DEPTACCESS","AMSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","15-NEW YORK","MANYC1A4","DEPTACCESS","HHNSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","15-NEW YORK","MANYC1A4","DEPTACCESS","HHSSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","15-NEW YORK","MANYC1A4","DEPTACCESS","OESAMP","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","15-NEW YORK","MANYC1A4","DEPTACCESS","OEUSER","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","15-NEW YORK","MANYC1A4","DEPTACCESS","OMSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","15-NEW YORK","MANYC1A4","DEPTACCESS","SMINQ","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","PAT","PAT","Oracle","ROLE_NAME","Promotion Control","N/A","DIVISION_DESC","CENTRAL","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","PAT","PAT","Oracle","ROLE_NAME","Promotion Control","N/A","DIVISION_DESC","EAST","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","PAT","PAT","Oracle","ROLE_NAME","Promotion Control","N/A","DIVISION_DESC","SOUTH","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","PAT","PAT","Oracle","ROLE_NAME","Promotion Control","N/A","DIVISION_DESC","WEST","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","PAT","PAT","Oracle","ROLE_NAME","Promotion Control","N/A","DIVISION_DESC","CANADA","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","PAT","PAT","Oracle","ROLE_NAME","Author","N/A","DIVISION_DESC","CENTRAL","Add an entitlement","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","PAT","PAT","Oracle","ROLE_NAME","Author","N/A","DIVISION_DESC","EAST","Add an entitlement","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","PAT","PAT","Oracle","ROLE_NAME","Author","N/A","DIVISION_DESC","SOUTH","Add an entitlement","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","PAT","PAT","Oracle","ROLE_NAME","Author","N/A","DIVISION_DESC","WEST","Add an entitlement","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","PAT","PAT","Oracle","ROLE_NAME","Author","N/A","DIVISION_DESC","CANADA","Add an entitlement","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","PAT","PAT","Oracle","ROLE_NAME","Requestor","N/A","DIVISION_DESC","CENTRAL","Add an entitlement","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","PAT","PAT","Oracle","ROLE_NAME","Requestor","N/A","DIVISION_DESC","EAST","Add an entitlement","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","PAT","PAT","Oracle","ROLE_NAME","Requestor","N/A","DIVISION_DESC","SOUTH","Add an entitlement","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","PAT","PAT","Oracle","ROLE_NAME","Requestor","N/A","DIVISION_DESC","WEST","Add an entitlement","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","PAT","PAT","Oracle","ROLE_NAME","Requestor","N/A","DIVISION_DESC","CANADA","Add an entitlement","",
"FNC_OTC_Pricing_Approver_NAF","N/A","Job Function","AS400","NA AS/400 - LEN1S1","LEN1S1","Group Profile","BASISXX","N/A","N/A","N/A","","",
"FNC_OTC_Pricing_Approver_NAF","N/A","Job Function","AS400","NA AS/400 - LEN1S2","LEN1S2","Group Profile","BASISXX","N/A","N/A","N/A","","",
"FNC_OTC_Pricing_Approver_NA","N/A","Job Function","AS400","NA AS/400 - LEN1S1","LEN1S1","Group Profile","BASISXX","N/A","N/A","N/A","","",
"FNC_OTC_Pricing_Approver_NA","N/A","Job Function","AS400","NA AS/400 - GANC3A4","GANC3A4","Group Profile","BASISXX","N/A","N/A","N/A","SKLAR","",
